no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
0, Not Graduate, No,2600000.0,8400000.0,18,861.0,,3500000.0,6200000.0,3800000.0, Approved
0, Not Graduate, No,3000000.0,7000000.0,12,409.0,6400000.0,4900000.0,8000000.0,3500000.0, Rejected
4, Graduate, No,2700000.0,10200000.0,4,528.0,7800000.0,2200000.0,10000000.0,1600000.0, Approved
4, Not Graduate, No,5700000.0,19600000.0,8,691.0,8800000.0,2200000.0,12100000.0,3000000.0, Approved
2, Graduate, No,1500000.0,3600000.0,4,584.0,3900000.0,1300000.0,4800000.0,1700000.0, Approved
5, Not Graduate, No,6800000.0,20000000.0,4,459.0,14500000.0,3000000.0,25000000.0,4900000.0, Rejected
1, Graduate, Yes,8100000.0,,10,755.0,,12700000.0,30100000.0,4700000.0, Approved
3, Not Graduate, Yes,9200000.0,27700000.0,20,688.0,4800000.0,,25800000.0,, Approved
1, Not Graduate, Yes,7600000.0,26000000.0,6,384.0,2600000.0,1200000.0,20000000.0,7900000.0, Rejected
4, Graduate, No,600000.0,,20,869.0,1400000.0,1000000.0,,, Approved
1, Not Graduate, Yes,4700000.0,18700000.0,20,445.0,2100000.0,,11100000.0,4000000.0, Rejected
0, Graduate, No,1400000.0,5500000.0,6,393.0,500000.0,1500000.0,5400000.0,1800000.0, Rejected
3, Graduate, Yes,9400000.0,24600000.0,10,414.0,8800000.0,13400000.0,23800000.0,5600000.0, Rejected
2, Graduate, No,,19900000.0,16,395.0,2800000.0,13700000.0,,10800000.0, Rejected
3, Not Graduate, Yes,8900000.0,21000000.0,14,815.0,,10800000.0,21600000.0,6400000.0, Approved
5, Graduate, No,4600000.0,10500000.0,8,758.0,3900000.0,4300000.0,15800000.0,2900000.0, Approved
5, Not Graduate, Yes,5600000.0,14500000.0,10,457.0,6900000.0,7800000.0,20600000.0,4600000.0, Rejected
0, Graduate, Yes,1000000.0,3200000.0,10,854.0,2600000.0,800000.0,2900000.0,1200000.0, Approved
3, Graduate, No,3500000.0,10300000.0,16,,2400000.0,900000.0,12600000.0,2400000.0, Rejected
0, Not Graduate, No,7900000.0,,14,849.0,19400000.0,10300000.0,26600000.0,10600000.0, Approved
3, Graduate, Yes,6100000.0,24200000.0,12,672.0,300000.0,11100000.0,23500000.0,5000000.0, Approved
3, Not Graduate, Yes,8900000.0,20900000.0,6,859.0,9600000.0,,29300000.0,11100000.0, Approved
4, Graduate, No,5300000.0,15400000.0,8,584.0,5100000.0,1700000.0,14000000.0,5000000.0, Approved
5, Not Graduate, No,1300000.0,4800000.0,4,346.0,3200000.0,1600000.0,3400000.0,1600000.0, Approved
3, Graduate, No,4000000.0,12800000.0,18,635.0,6000000.0,7000000.0,12900000.0,4200000.0, Approved
2, Not Graduate, No,8700000.0,22700000.0,4,365.0,8200000.0,,30200000.0,7200000.0, Rejected
1, Not Graduate, No,,20000000.0,16,856.0,,,,6200000.0, Approved
5, Graduate, Yes,9000000.0,20000000.0,2,440.0,17100000.0,1000000.0,28500000.0,7600000.0, Rejected
0, Graduate, Yes,7300000.0,23300000.0,2,616.0,15700000.0,5900000.0,25800000.0,4100000.0, Approved
3, Graduate, Yes,7400000.0,25700000.0,2,461.0,5700000.0,2900000.0,15100000.0,5100000.0, Approved
5, Not Graduate, No,3100000.0,10800000.0,10,681.0,5100000.0,1700000.0,7400000.0,1500000.0, Approved
2, Graduate, No,4300000.0,9400000.0,2,485.0,11000000.0,8100000.0,11000000.0,2200000.0, Rejected
1, Graduate, Yes,2400000.0,8300000.0,6,684.0,5500000.0,3500000.0,5300000.0,2300000.0, Approved
1, Graduate, No,5400000.0,17900000.0,14,727.0,13100000.0,,12300000.0,4700000.0, Approved
2, Not Graduate, No,1600000.0,5100000.0,6,784.0,1400000.0,2400000.0,4500000.0,1400000.0, Approved
3, Not Graduate, Yes,,20400000.0,4,865.0,,3600000.0,,, Approved
3, Not Graduate, No,5800000.0,20100000.0,18,791.0,1400000.0,10800000.0,16300000.0,5600000.0, Approved
4, Not Graduate, No,2200000.0,8500000.0,16,866.0,4000000.0,1900000.0,6800000.0,2800000.0, Approved
0, Graduate, No,5000000.0,14400000.0,2,761.0,,7300000.0,12600000.0,4500000.0, Approved
2, Not Graduate, Yes,600000.0,2100000.0,18,572.0,400000.0,500000.0,,, Approved
4, Graduate, No,2200000.0,8600000.0,6,601.0,2700000.0,2900000.0,6700000.0,3300000.0, Approved
1, Graduate, Yes,2600000.0,5500000.0,14,820.0,2700000.0,2400000.0,9300000.0,2000000.0, Approved
4, Not Graduate, No,1200000.0,4300000.0,8,598.0,1600000.0,1800000.0,3200000.0,1300000.0, Approved
2, Graduate, No,3100000.0,8700000.0,18,544.0,5300000.0,1100000.0,12200000.0,1500000.0, Rejected
5, Not Graduate, Yes,4600000.0,14500000.0,14,561.0,2300000.0,6200000.0,10200000.0,5800000.0, Approved
4, Graduate, Yes,9300000.0,,6,547.0,2800000.0,,27000000.0,, Rejected
4, Graduate, No,6300000.0,13400000.0,2,504.0,10500000.0,10900000.0,14500000.0,9400000.0, Rejected
2, Not Graduate, No,5900000.0,20800000.0,14,530.0,7100000.0,5800000.0,13100000.0,8800000.0, Rejected
2, Graduate, Yes,2900000.0,10600000.0,6,614.0,1000000.0,300000.0,7600000.0,3600000.0, Approved
4, Not Graduate, No,6100000.0,22400000.0,18,351.0,11800000.0,5000000.0,24400000.0,4800000.0, Rejected
4, Graduate, Yes,5900000.0,19700000.0,10,431.0,3300000.0,9200000.0,22700000.0,5300000.0, Rejected
1, Not Graduate, Yes,4600000.0,18400000.0,10,403.0,,8800000.0,17300000.0,2900000.0, Rejected
2, Not Graduate, No,7000000.0,20200000.0,8,668.0,16600000.0,5000000.0,26100000.0,9100000.0, Approved
3, Not Graduate, Yes,5100000.0,10400000.0,18,399.0,8000000.0,4300000.0,20100000.0,4600000.0, Rejected
1, Graduate, No,3100000.0,10600000.0,14,665.0,6200000.0,800000.0,9500000.0,3900000.0, Approved
2, Graduate, No,4100000.0,12800000.0,16,344.0,10300000.0,7000000.0,15800000.0,4100000.0, Rejected
0, Graduate, No,1800000.0,5400000.0,16,555.0,3900000.0,2900000.0,5100000.0,1700000.0, Approved
4, Not Graduate, Yes,8200000.0,26900000.0,20,,,13600000.0,31000000.0,9900000.0, Rejected
2, Not Graduate, Yes,800000.0,2100000.0,6,726.0,2000000.0,,2600000.0,600000.0, Approved
2, Graduate, No,8400000.0,23100000.0,6,689.0,5700000.0,2500000.0,18900000.0,, Approved
0, Not Graduate, No,8500000.0,,4,665.0,8500000.0,12800000.0,17900000.0,4500000.0, Approved
3, Not Graduate, Yes,3300000.0,12700000.0,16,608.0,3600000.0,6200000.0,12600000.0,4500000.0, Approved
3, Not Graduate, No,5800000.0,12800000.0,20,335.0,4400000.0,3000000.0,15300000.0,8000000.0, Rejected
3, Not Graduate, No,4400000.0,10500000.0,18,677.0,,2000000.0,12100000.0,5000000.0, Approved
1, Not Graduate, No,2600000.0,8500000.0,2,491.0,1700000.0,1800000.0,5300000.0,2600000.0, Approved
2, Not Graduate, Yes,,28100000.0,20,763.0,,11800000.0,27500000.0,10300000.0, Approved
5, Not Graduate, Yes,5200000.0,18100000.0,8,809.0,2400000.0,6900000.0,14000000.0,5500000.0, Approved
5, Not Graduate, Yes,,,16,544.0,3500000.0,,31300000.0,5200000.0, Rejected
1, Graduate, Yes,,,14,624.0,600000.0,,,, Approved
3, Graduate, No,6500000.0,16800000.0,10,388.0,9500000.0,800000.0,14900000.0,7200000.0, Rejected
4, Graduate, Yes,7200000.0,23100000.0,14,644.0,13300000.0,3500000.0,18300000.0,4200000.0, Approved
0, Not Graduate, No,5200000.0,18400000.0,14,600.0,7300000.0,9700000.0,16500000.0,3600000.0, Approved
2, Not Graduate, No,6500000.0,14100000.0,2,709.0,1000000.0,12700000.0,20900000.0,4000000.0, Approved
5, Graduate, Yes,2300000.0,5600000.0,8,642.0,2600000.0,1900000.0,8600000.0,2500000.0, Approved
0, Not Graduate, Yes,3300000.0,10400000.0,4,423.0,7400000.0,4700000.0,11600000.0,3200000.0, Approved
0, Not Graduate, Yes,2000000.0,5900000.0,12,,3800000.0,2400000.0,7100000.0,3000000.0, Approved
2, Graduate, Yes,8300000.0,19500000.0,4,415.0,2300000.0,9400000.0,21700000.0,8600000.0, Rejected
4, Graduate, Yes,3800000.0,14300000.0,4,645.0,1300000.0,1100000.0,10900000.0,4600000.0, Approved
0, Not Graduate, No,5700000.0,15600000.0,16,742.0,700000.0,5800000.0,11400000.0,6800000.0, Approved
4, Not Graduate, No,7300000.0,19800000.0,8,724.0,5500000.0,6000000.0,29000000.0,10300000.0, Approved
1, Graduate, No,1600000.0,5400000.0,12,707.0,600000.0,1700000.0,6200000.0,800000.0, Approved
5, Not Graduate, Yes,800000.0,2500000.0,4,780.0,500000.0,900000.0,,, Approved
4, Not Graduate, No,6300000.0,21900000.0,10,538.0,9600000.0,5400000.0,19300000.0,7800000.0, Rejected
2, Graduate, No,8800000.0,17700000.0,14,706.0,,4300000.0,30300000.0,9200000.0, Approved
0, Graduate, No,7300000.0,14500000.0,16,811.0,1000000.0,12400000.0,16100000.0,9600000.0, Approved
2, Graduate, Yes,3800000.0,9100000.0,14,849.0,6300000.0,2400000.0,9500000.0,2500000.0, Approved
3, Graduate, No,6200000.0,16700000.0,10,,15800000.0,8200000.0,20100000.0,9100000.0, Approved
5, Not Graduate, Yes,3500000.0,9500000.0,4,664.0,9500000.0,500000.0,7800000.0,5200000.0, Approved
5, Graduate, Yes,1400000.0,5000000.0,2,465.0,,2600000.0,5300000.0,1500000.0, Approved
3, Not Graduate, Yes,3500000.0,12000000.0,2,786.0,600000.0,6400000.0,10700000.0,1700000.0, Approved
1, Graduate, Yes,600000.0,2000000.0,10,,400000.0,1000000.0,2400000.0,700000.0, Rejected
0, Not Graduate, No,4100000.0,10800000.0,16,399.0,5900000.0,7600000.0,12700000.0,5300000.0, Rejected
2, Not Graduate, Yes,5400000.0,11500000.0,6,841.0,6800000.0,,11100000.0,6600000.0, Approved
2, Not Graduate, Yes,2000000.0,6700000.0,14,638.0,4900000.0,200000.0,4900000.0,2300000.0, Approved
4, Graduate, Yes,3500000.0,8900000.0,4,478.0,4000000.0,3900000.0,11300000.0,3800000.0, Rejected
0, Graduate, Yes,8300000.0,30000000.0,4,600.0,14600000.0,12500000.0,24800000.0,, Approved
0, Graduate, Yes,6700000.0,15600000.0,16,768.0,300000.0,1800000.0,26000000.0,3800000.0, Approved
0, Not Graduate, No,1900000.0,6500000.0,10,523.0,2400000.0,1100000.0,6200000.0,1100000.0, Rejected
2, Graduate, Yes,6500000.0,20900000.0,14,,8200000.0,,22800000.0,4700000.0, Rejected
1, Graduate, Yes,600000.0,1800000.0,8,799.0,1000000.0,700000.0,2200000.0,800000.0, Approved
5, Graduate, No,7000000.0,23000000.0,18,803.0,18700000.0,6300000.0,27800000.0,4100000.0, Approved
2, Graduate, No,7700000.0,15400000.0,18,524.0,12900000.0,5100000.0,21000000.0,6600000.0, Rejected
1, Graduate, No,2600000.0,6600000.0,6,506.0,2300000.0,1900000.0,9600000.0,2100000.0, Rejected
1, Graduate, No,9200000.0,18800000.0,2,351.0,,2200000.0,,, Rejected
2, Graduate, Yes,1800000.0,4200000.0,8,648.0,1200000.0,3100000.0,6200000.0,1600000.0, Approved
1, Not Graduate, No,4900000.0,18500000.0,4,612.0,6100000.0,5900000.0,16400000.0,2900000.0, Approved
1, Graduate, No,5700000.0,12400000.0,14,396.0,5400000.0,7500000.0,17600000.0,5600000.0, Rejected
3, Not Graduate, No,,,2,458.0,500000.0,,,, Rejected
3, Graduate, Yes,1700000.0,3400000.0,6,488.0,,500000.0,4500000.0,1600000.0, Rejected
4, Graduate, No,7000000.0,18900000.0,6,475.0,1300000.0,6100000.0,14700000.0,5200000.0, Rejected
1, Not Graduate, No,2200000.0,7000000.0,18,417.0,2000000.0,3900000.0,6500000.0,1900000.0, Rejected
2, Not Graduate, No,6800000.0,18700000.0,8,781.0,17600000.0,900000.0,23700000.0,5400000.0, Approved
1, Not Graduate, Yes,2400000.0,6200000.0,12,337.0,3400000.0,2100000.0,9400000.0,2300000.0, Rejected
0, Not Graduate, Yes,600000.0,1800000.0,12,511.0,300000.0,200000.0,2200000.0,, Rejected
4, Graduate, No,6200000.0,17300000.0,6,837.0,12600000.0,3700000.0,24700000.0,4600000.0, Approved
1, Not Graduate, No,7600000.0,24600000.0,12,810.0,1300000.0,10500000.0,30300000.0,5200000.0, Approved
2, Not Graduate, No,4800000.0,10600000.0,8,588.0,3700000.0,5200000.0,15000000.0,4500000.0, Approved
5, Graduate, No,4200000.0,9200000.0,12,,3200000.0,2400000.0,12300000.0,5700000.0, Approved
0, Not Graduate, Yes,7200000.0,20700000.0,10,733.0,15600000.0,12000000.0,19200000.0,9900000.0, Approved
5, Not Graduate, Yes,6400000.0,20300000.0,16,348.0,10000000.0,10900000.0,20400000.0,6900000.0, Rejected
0, Not Graduate, Yes,8900000.0,23000000.0,12,741.0,5600000.0,11200000.0,27100000.0,7100000.0, Approved
3, Not Graduate, No,5100000.0,14500000.0,12,,700000.0,8800000.0,11600000.0,2900000.0, Rejected
2, Graduate, Yes,6300000.0,19500000.0,18,428.0,15900000.0,7200000.0,19900000.0,6500000.0, Rejected
3, Graduate, No,6600000.0,22100000.0,4,455.0,3800000.0,3000000.0,25100000.0,7400000.0, Approved
1, Not Graduate, Yes,4800000.0,14700000.0,2,356.0,7100000.0,8800000.0,13400000.0,5500000.0, Approved
0, Graduate, No,,,4,594.0,500000.0,,,, Approved
0, Not Graduate, Yes,7500000.0,25800000.0,18,844.0,9100000.0,600000.0,18600000.0,6500000.0, Approved
4, Graduate, No,9000000.0,,4,771.0,4800000.0,9500000.0,,7700000.0, Approved
2, Graduate, No,5400000.0,12500000.0,4,622.0,14400000.0,2900000.0,11800000.0,5400000.0, Approved
1, Not Graduate, Yes,1700000.0,4500000.0,20,480.0,,600000.0,5400000.0,1900000.0, Rejected
4, Graduate, No,4300000.0,11500000.0,20,337.0,11100000.0,6000000.0,17000000.0,5200000.0, Rejected
1, Graduate, No,5200000.0,11200000.0,6,698.0,14100000.0,7600000.0,18800000.0,2700000.0, Approved
4, Not Graduate, No,4400000.0,17000000.0,18,,1000000.0,2100000.0,14000000.0,5700000.0, Rejected
1, Not Graduate, Yes,3900000.0,7800000.0,14,349.0,11200000.0,500000.0,11800000.0,3600000.0, Rejected
0, Graduate, No,1100000.0,3300000.0,10,482.0,2800000.0,300000.0,2900000.0,1600000.0, Rejected
2, Graduate, No,2500000.0,8200000.0,10,429.0,1500000.0,4100000.0,5900000.0,2200000.0, Rejected
4, Graduate, No,,,8,471.0,500000.0,300000.0,,700000.0, Rejected
0, Graduate, Yes,9000000.0,,10,,16800000.0,5800000.0,20700000.0,9500000.0, Approved
1, Not Graduate, Yes,5100000.0,20300000.0,18,757.0,11800000.0,3400000.0,13400000.0,3200000.0, Approved
2, Graduate, No,5200000.0,13500000.0,2,777.0,7000000.0,5200000.0,15500000.0,6100000.0, Approved
5, Not Graduate, Yes,4400000.0,8900000.0,4,761.0,8100000.0,1000000.0,14200000.0,3000000.0, Approved
1, Graduate, No,1900000.0,4200000.0,12,821.0,5200000.0,1500000.0,5000000.0,2700000.0, Approved
4, Not Graduate, Yes,9200000.0,26500000.0,6,662.0,1000000.0,400000.0,26900000.0,5300000.0, Approved
2, Not Graduate, Yes,4800000.0,16500000.0,10,350.0,2000000.0,6500000.0,11400000.0,2900000.0, Rejected
4, Not Graduate, No,4900000.0,10700000.0,20,,1200000.0,400000.0,11100000.0,6500000.0, Rejected
3, Graduate, Yes,4800000.0,10100000.0,4,368.0,9100000.0,5100000.0,16500000.0,3500000.0, Rejected
4, Graduate, No,9300000.0,24900000.0,14,455.0,,4700000.0,,, Rejected
5, Not Graduate, Yes,7500000.0,24600000.0,8,744.0,1600000.0,3600000.0,16700000.0,9300000.0, Approved
1, Graduate, No,5900000.0,16800000.0,4,806.0,11200000.0,9700000.0,22800000.0,7100000.0, Approved
0, Graduate, No,9400000.0,27900000.0,6,456.0,,,,7800000.0, Rejected
5, Graduate, No,5300000.0,13400000.0,8,719.0,1600000.0,200000.0,11400000.0,5300000.0, Approved
4, Graduate, No,3700000.0,9000000.0,18,668.0,7800000.0,1600000.0,13400000.0,3100000.0, Approved
0, Graduate, Yes,2500000.0,5800000.0,18,494.0,5100000.0,4400000.0,8500000.0,2300000.0, Rejected
4, Not Graduate, No,2800000.0,10800000.0,2,841.0,700000.0,2600000.0,7100000.0,4100000.0, Approved
0, Graduate, Yes,5400000.0,21400000.0,8,721.0,8200000.0,6400000.0,16700000.0,7400000.0, Approved
5, Graduate, No,3100000.0,9400000.0,10,414.0,,5300000.0,8000000.0,2800000.0, Rejected
5, Not Graduate, No,4800000.0,15500000.0,10,812.0,9500000.0,1500000.0,17800000.0,3500000.0, Approved
1, Not Graduate, No,8800000.0,17500000.0,20,832.0,1800000.0,3600000.0,24000000.0,7400000.0, Approved
2, Graduate, No,4100000.0,14900000.0,12,571.0,,5200000.0,13000000.0,3400000.0, Approved
5, Not Graduate, No,,,14,459.0,,,22800000.0,5600000.0, Rejected
2, Graduate, Yes,6400000.0,24100000.0,6,592.0,2500000.0,6300000.0,20200000.0,6000000.0, Approved
5, Graduate, No,3400000.0,13100000.0,20,527.0,900000.0,4500000.0,8600000.0,4000000.0, Rejected
4, Not Graduate, No,3500000.0,10200000.0,12,333.0,7600000.0,6400000.0,8100000.0,3400000.0, Rejected
3, Not Graduate, No,3200000.0,10000000.0,18,532.0,3300000.0,,9800000.0,2100000.0, Rejected
2, Graduate, Yes,4900000.0,13100000.0,18,754.0,8200000.0,3300000.0,16500000.0,7200000.0, Approved
0, Graduate, Yes,1300000.0,4800000.0,4,835.0,500000.0,,3300000.0,800000.0, Rejected
4, Graduate, No,2500000.0,5400000.0,10,592.0,3400000.0,1500000.0,9900000.0,2900000.0, Approved
0, Graduate, No,7500000.0,27300000.0,20,553.0,11600000.0,2800000.0,26200000.0,6100000.0, Approved
2, Graduate, No,700000.0,2000000.0,8,806.0,1900000.0,1100000.0,2200000.0,, Approved
4, Graduate, Yes,8200000.0,28500000.0,2,378.0,6800000.0,11200000.0,26400000.0,, Approved
1, Not Graduate, No,6900000.0,26200000.0,4,534.0,14500000.0,11900000.0,14900000.0,9400000.0, Approved
1, Not Graduate, Yes,1500000.0,5900000.0,16,400.0,4200000.0,2400000.0,4800000.0,1500000.0, Rejected
3, Graduate, No,6300000.0,18300000.0,18,543.0,1800000.0,9400000.0,17700000.0,3500000.0, Rejected
0, Not Graduate, Yes,8800000.0,25600000.0,10,715.0,,2500000.0,,8600000.0, Approved
4, Graduate, Yes,8900000.0,20700000.0,6,684.0,1100000.0,9200000.0,20400000.0,6700000.0, Approved
3, Not Graduate, Yes,2100000.0,6100000.0,8,346.0,5500000.0,600000.0,4500000.0,2900000.0, Rejected
1, Graduate, Yes,9200000.0,29200000.0,6,669.0,9900000.0,12900000.0,23400000.0,, Approved
2, Not Graduate, No,3600000.0,8000000.0,12,566.0,10500000.0,3000000.0,8900000.0,2700000.0, Approved
0, Not Graduate, Yes,8600000.0,23600000.0,2,361.0,,5300000.0,24700000.0,7500000.0, Rejected
5, Graduate, No,3000000.0,8000000.0,6,333.0,3200000.0,400000.0,8200000.0,2200000.0, Rejected
3, Not Graduate, Yes,5200000.0,16300000.0,8,335.0,9500000.0,7000000.0,13600000.0,7300000.0, Rejected
3, Graduate, Yes,7200000.0,20400000.0,10,558.0,,13200000.0,27200000.0,10600000.0, Approved
1, Not Graduate, Yes,4000000.0,15600000.0,12,436.0,10400000.0,2800000.0,14800000.0,3200000.0, Rejected
1, Not Graduate, No,2400000.0,5200000.0,2,371.0,6100000.0,3100000.0,8500000.0,1400000.0, Rejected
2, Not Graduate, Yes,5500000.0,18400000.0,10,515.0,6800000.0,4400000.0,18500000.0,4100000.0, Rejected
0, Not Graduate, Yes,9000000.0,24300000.0,10,599.0,12900000.0,3400000.0,26900000.0,6400000.0, Approved
0, Not Graduate, Yes,7900000.0,24000000.0,20,728.0,18600000.0,,21800000.0,7400000.0, Approved
2, Not Graduate, Yes,6200000.0,21600000.0,20,679.0,18600000.0,2500000.0,24500000.0,9100000.0, Approved
3, Graduate, Yes,7900000.0,29200000.0,4,399.0,,5500000.0,30200000.0,6900000.0, Approved
3, Not Graduate, No,1200000.0,4500000.0,6,819.0,1400000.0,1100000.0,4400000.0,900000.0, Approved
1, Graduate, No,4700000.0,11700000.0,6,,11800000.0,1100000.0,15100000.0,3700000.0, Rejected
5, Graduate, Yes,5900000.0,15600000.0,2,730.0,12600000.0,4700000.0,15900000.0,5900000.0, Approved
4, Not Graduate, Yes,1400000.0,5100000.0,14,,4000000.0,1000000.0,3200000.0,1400000.0, Rejected
3, Not Graduate, Yes,4700000.0,12800000.0,16,740.0,2200000.0,8600000.0,11700000.0,6100000.0, Approved
5, Graduate, Yes,7600000.0,20000000.0,10,522.0,,1400000.0,20400000.0,4300000.0, Rejected
4, Graduate, No,7200000.0,16900000.0,4,702.0,15900000.0,7100000.0,22000000.0,9600000.0, Approved
4, Not Graduate, Yes,1400000.0,4300000.0,16,447.0,3600000.0,1200000.0,5300000.0,1000000.0, Rejected
5, Graduate, No,1400000.0,2900000.0,4,829.0,800000.0,600000.0,5400000.0,1600000.0, Approved
2, Graduate, No,7900000.0,18500000.0,18,727.0,20200000.0,12400000.0,19600000.0,7100000.0, Approved
5, Not Graduate, Yes,7600000.0,18700000.0,14,509.0,8500000.0,8500000.0,22200000.0,3700000.0, Rejected
3, Graduate, Yes,,,2,745.0,2500000.0,2000000.0,,6700000.0, Approved
1, Not Graduate, No,2300000.0,6600000.0,18,513.0,4600000.0,900000.0,9000000.0,1600000.0, Rejected
2, Not Graduate, No,8100000.0,18500000.0,6,372.0,19100000.0,10200000.0,31000000.0,7900000.0, Rejected
2, Graduate, Yes,,,4,411.0,600000.0,,,, Rejected
4, Graduate, No,4700000.0,10800000.0,20,495.0,11300000.0,6800000.0,17000000.0,4500000.0, Rejected
5, Not Graduate, No,1100000.0,2500000.0,4,827.0,2400000.0,1000000.0,4100000.0,600000.0, Approved
4, Not Graduate, No,8600000.0,25100000.0,6,820.0,14400000.0,5000000.0,26000000.0,8300000.0, Approved
5, Graduate, Yes,8700000.0,28100000.0,10,660.0,,800000.0,25900000.0,10100000.0, Approved
0, Not Graduate, No,2200000.0,8600000.0,4,563.0,900000.0,1000000.0,4400000.0,2800000.0, Approved
1, Not Graduate, Yes,,,10,,900000.0,,,, Approved
0, Not Graduate, Yes,9100000.0,22000000.0,12,387.0,,,,7000000.0, Rejected
1, Graduate, No,2200000.0,8700000.0,12,613.0,500000.0,1800000.0,5700000.0,2400000.0, Approved
0, Not Graduate, Yes,2200000.0,8000000.0,14,335.0,2800000.0,3700000.0,6900000.0,2900000.0, Rejected
1, Graduate, Yes,,,2,795.0,9500000.0,900000.0,,9300000.0, Approved
1, Graduate, Yes,6500000.0,13900000.0,8,369.0,9600000.0,300000.0,17200000.0,8300000.0, Rejected
4, Graduate, Yes,2400000.0,7400000.0,18,,2700000.0,1600000.0,7600000.0,3200000.0, Approved
4, Not Graduate, No,5500000.0,12300000.0,6,742.0,12900000.0,2700000.0,19800000.0,4300000.0, Approved
0, Graduate, No,5000000.0,14400000.0,4,,3000000.0,9300000.0,14100000.0,3900000.0, Approved
1, Graduate, No,2700000.0,8100000.0,16,691.0,2000000.0,3600000.0,8100000.0,2100000.0, Approved
3, Not Graduate, Yes,8500000.0,30300000.0,12,762.0,12700000.0,3700000.0,20000000.0,4200000.0, Approved
1, Graduate, No,4400000.0,10700000.0,18,,2200000.0,3300000.0,12700000.0,5400000.0, Rejected
4, Not Graduate, No,,1800000.0,20,777.0,900000.0,300000.0,,, Approved
0, Graduate, No,8300000.0,21400000.0,2,662.0,6100000.0,12300000.0,24500000.0,10200000.0, Approved
2, Not Graduate, Yes,6000000.0,13000000.0,12,462.0,2100000.0,2500000.0,14600000.0,5600000.0, Rejected
3, Not Graduate, Yes,4000000.0,10400000.0,14,609.0,2100000.0,6900000.0,11700000.0,4600000.0, Approved
5, Graduate, Yes,4400000.0,11700000.0,20,590.0,900000.0,2700000.0,15500000.0,2300000.0, Approved
3, Graduate, Yes,4400000.0,15800000.0,18,779.0,7200000.0,5400000.0,14900000.0,3600000.0, Approved
2, Graduate, Yes,1900000.0,5000000.0,14,641.0,1000000.0,900000.0,5500000.0,2400000.0, Approved
0, Graduate, Yes,5000000.0,18400000.0,12,752.0,14600000.0,4000000.0,10500000.0,6500000.0, Approved
0, Graduate, No,8000000.0,23700000.0,10,,,11600000.0,17200000.0,, Rejected
4, Not Graduate, No,8200000.0,20700000.0,10,546.0,10800000.0,7000000.0,25000000.0,10600000.0, Rejected
2, Graduate, No,7000000.0,24200000.0,8,833.0,13700000.0,4100000.0,26100000.0,9100000.0, Approved
2, Not Graduate, No,2400000.0,8800000.0,18,421.0,3200000.0,1500000.0,6700000.0,1400000.0, Rejected
5, Graduate, No,6600000.0,18800000.0,4,639.0,3200000.0,1100000.0,25100000.0,4300000.0, Approved
3, Graduate, No,3200000.0,6900000.0,20,735.0,1500000.0,3700000.0,9200000.0,3100000.0, Approved
0, Not Graduate, Yes,2600000.0,5400000.0,2,377.0,,4900000.0,6100000.0,2700000.0, Rejected
3, Not Graduate, No,6900000.0,15600000.0,20,,4500000.0,3600000.0,20400000.0,4800000.0, Rejected
4, Graduate, No,4800000.0,14000000.0,2,695.0,11300000.0,1700000.0,15400000.0,4600000.0, Approved
1, Not Graduate, Yes,,,4,355.0,700000.0,300000.0,,, Approved
1, Not Graduate, Yes,4300000.0,14100000.0,12,525.0,2100000.0,1100000.0,14100000.0,5500000.0, Rejected
5, Not Graduate, No,700000.0,2400000.0,20,330.0,1300000.0,700000.0,2500000.0,500000.0, Rejected
5, Graduate, No,9400000.0,25800000.0,14,625.0,,,30800000.0,11100000.0, Approved
3, Not Graduate, Yes,800000.0,2900000.0,10,644.0,600000.0,500000.0,2900000.0,, Approved
5, Not Graduate, No,4400000.0,14900000.0,4,865.0,8200000.0,6200000.0,14900000.0,3500000.0, Approved
1, Graduate, Yes,4700000.0,14800000.0,6,661.0,8500000.0,6000000.0,13600000.0,6400000.0, Approved
2, Not Graduate, No,2300000.0,5000000.0,8,,1400000.0,1700000.0,6100000.0,1500000.0, Approved
5, Graduate, Yes,8500000.0,26700000.0,10,803.0,500000.0,,24400000.0,9600000.0, Approved
2, Graduate, No,7600000.0,28300000.0,12,800.0,19700000.0,,15600000.0,7800000.0, Approved
2, Graduate, No,3200000.0,12600000.0,18,796.0,6200000.0,3500000.0,9600000.0,2000000.0, Approved
4, Not Graduate, No,2400000.0,5000000.0,4,716.0,1500000.0,2800000.0,6900000.0,1400000.0, Approved
0, Graduate, Yes,,,18,479.0,1500000.0,500000.0,,600000.0, Rejected
3, Not Graduate, Yes,8500000.0,28300000.0,2,810.0,,4300000.0,18500000.0,10700000.0, Approved
0, Graduate, Yes,8900000.0,20900000.0,18,568.0,18800000.0,700000.0,,5300000.0, Approved
0, Graduate, No,2800000.0,5600000.0,8,842.0,,1300000.0,6100000.0,1900000.0, Approved
3, Not Graduate, Yes,2900000.0,7000000.0,4,806.0,5700000.0,5600000.0,5900000.0,3000000.0, Approved
1, Graduate, Yes,4900000.0,17700000.0,8,722.0,9200000.0,7300000.0,16400000.0,3000000.0, Approved
5, Not Graduate, No,,20700000.0,14,442.0,,9800000.0,,8200000.0, Rejected
3, Graduate, Yes,3300000.0,9800000.0,6,360.0,4500000.0,600000.0,11000000.0,4400000.0, Rejected
