no_of_dependents, education, self_employed, income_annum, loan_term, cibil_score, loan_status
1,0,0,6500000.0,20,741.0,0
4,1,1,4400000.0,14,693.2185697639388,0
0,1,1,900000.0,10,683.0,0
0,1,1,3200000.0,18,780.0,0
3,0,0,600000.0,8,538.0,1
1,1,0,5200000.0,10,721.0,0
3,1,1,6400000.0,14,467.0,1
2,1,0,1000000.0,6,551.0,0
2,1,0,6800000.0,14,803.0,0
0,0,0,3000000.0,10,361.0,1
1,1,1,8700000.0,6,708.0,0
4,0,1,8800000.0,18,766.0,0
1,1,1,3900000.0,2,464.0,1
5,0,0,1700000.0,2,517.0,1
3,1,1,900000.0,6,747.0,0
1,1,0,7200000.0,6,596.0,0
0,0,0,9200000.0,2,783.0,0
3,1,0,5700000.0,2,335.0,0
5,1,1,1100000.0,4,677.4897363471798,0
2,1,1,1100000.0,4,678.0562768102145,0
0,0,1,6000000.0,4,394.0,0
2,0,1,8100000.0,20,420.0,1
2,1,1,6500000.0,20,848.0,0
0,0,1,7600000.0,16,788.0,0
1,0,0,2200000.0,8,509.0,1
4,0,1,6300000.0,6,664.5380751432107,0
4,1,1,6700000.0,12,466.0,1
5,0,1,1300000.0,2,595.0,0
1,1,0,2800000.0,12,452.2310264814673,1
3,0,0,7000000.0,2,691.0,0
3,1,1,8800000.0,10,379.0,1
0,0,0,8900000.0,18,531.0,1
5,1,0,7000000.0,4,631.0,0
0,0,1,6900000.0,10,330.0,1
5,0,0,9200000.0,16,383.0,1
0,0,1,6100000.0,16,678.0,0
1,0,1,4400000.0,8,679.1471051901214,0
4,1,0,5009504.564493542,12,567.0,0
5,1,0,3900000.0,4,708.0,0
3,0,0,6800000.0,2,433.0,0
4,1,0,3600000.0,14,459.0660944223784,1
4,0,0,700000.0,14,736.0,0
2,1,1,4000000.0,6,436.054073485415,1
4,0,0,1800000.0,12,670.0,0
3,1,0,5600000.0,12,609.0,0
4,1,0,6800000.0,18,349.0,1
5,1,1,600000.0,2,417.40393020307147,1
1,1,0,4200000.0,14,391.0,1
4,1,0,5000000.0,10,755.0,0
1,1,0,4100000.0,6,354.0,1
3,1,1,2200000.0,2,663.8904327336663,0
1,1,0,3400000.0,16,462.7522927817072,1
0,0,0,7100000.0,14,746.0,0
3,0,0,5800000.0,16,450.89168444153,1
2,0,0,3400000.0,14,857.0,0
2,1,0,7700000.0,20,504.0,1
0,0,0,5020252.737023806,14,556.0,0
2,0,1,5300000.0,14,393.0,1
0,0,0,4700000.0,14,702.1246218636386,0
2,0,1,4300000.0,14,719.0,0
2,0,1,900000.0,16,458.0,1
4,0,0,2000000.0,14,857.0,0
2,0,1,2000000.0,16,429.0,1
3,1,0,4100000.0,12,538.0,1
1,1,0,6900000.0,10,828.0,0
5,0,1,2300000.0,6,339.0,1
5,0,1,5800000.0,18,376.0,1
5,1,0,8000000.0,14,549.0,1
3,1,1,3700000.0,18,587.0,0
0,1,0,2600000.0,18,861.0,0
0,1,0,3000000.0,12,409.0,1
4,0,0,2700000.0,4,528.0,0
4,1,0,5700000.0,8,691.0,0
2,0,0,1500000.0,4,584.0,0
5,1,0,6800000.0,4,459.0,1
1,0,1,8100000.0,10,755.0,0
3,1,1,9200000.0,20,688.0,0
1,1,1,7600000.0,6,384.0,1
4,0,0,600000.0,20,869.0,0
1,1,1,4700000.0,20,445.0,1
0,0,0,1400000.0,6,393.0,1
3,0,1,9400000.0,10,414.0,1
2,0,0,5075944.593517605,16,395.0,1
3,1,1,8900000.0,14,815.0,0
5,0,0,4600000.0,8,758.0,0
5,1,1,5600000.0,10,457.0,1
0,0,1,1000000.0,10,854.0,0
3,0,0,3500000.0,16,458.08725621549297,1
0,1,0,7900000.0,14,849.0,0
3,0,1,6100000.0,12,672.0,0
3,1,1,8900000.0,6,859.0,0
4,0,0,5300000.0,8,584.0,0
5,1,0,1300000.0,4,346.0,0
3,0,0,4000000.0,18,635.0,0
2,1,0,8700000.0,4,365.0,1
1,1,0,4985322.259128566,16,856.0,0
5,0,1,9000000.0,2,440.0,1
0,0,1,7300000.0,2,616.0,0
3,0,1,7400000.0,2,461.0,0
5,1,0,3100000.0,10,681.0,0
2,0,0,4300000.0,2,485.0,1
1,0,1,2400000.0,6,684.0,0
1,0,0,5400000.0,14,727.0,0
2,1,0,1600000.0,6,784.0,0
3,1,1,4991561.536304263,4,865.0,0
3,1,0,5800000.0,18,791.0,0
4,1,0,2200000.0,16,866.0,0
0,0,0,5000000.0,2,761.0,0
2,1,1,600000.0,18,572.0,0
4,0,0,2200000.0,6,601.0,0
1,0,1,2600000.0,14,820.0,0
4,1,0,1200000.0,8,598.0,0
2,0,0,3100000.0,18,544.0,1
5,1,1,4600000.0,14,561.0,0
4,0,1,9300000.0,6,547.0,1
4,0,0,6300000.0,2,504.0,1
2,1,0,5900000.0,14,530.0,1
2,0,1,2900000.0,6,614.0,0
4,1,0,6100000.0,18,351.0,1
4,0,1,5900000.0,10,431.0,1
1,1,1,4600000.0,10,403.0,1
2,1,0,7000000.0,8,668.0,0
3,1,1,5100000.0,18,399.0,1
1,0,0,3100000.0,14,665.0,0
2,0,0,4100000.0,16,344.0,1
0,0,0,1800000.0,16,555.0,0
4,1,1,8200000.0,20,458.5660904830241,1
2,1,1,800000.0,6,726.0,0
2,0,0,8400000.0,6,689.0,0
0,1,0,8500000.0,4,665.0,0
3,1,1,3300000.0,16,608.0,0
3,1,0,5800000.0,20,335.0,1
3,1,0,4400000.0,18,677.0,0
1,1,0,2600000.0,2,491.0,0
2,1,1,4980726.859910832,20,763.0,0
5,1,1,5200000.0,8,809.0,0
5,1,1,5045362.0919309445,16,544.0,1
1,0,1,5016413.858152919,14,624.0,0
3,0,0,6500000.0,10,388.0,1
4,0,1,7200000.0,14,644.0,0
0,1,0,5200000.0,14,600.0,0
2,1,0,6500000.0,2,709.0,0
5,0,1,2300000.0,8,642.0,0
0,1,1,3300000.0,4,423.0,0
0,1,1,2000000.0,12,696.7736777270472,0
2,0,1,8300000.0,4,415.0,1
4,0,1,3800000.0,4,645.0,0
0,1,0,5700000.0,16,742.0,0
4,1,0,7300000.0,8,724.0,0
1,0,0,1600000.0,12,707.0,0
5,1,1,800000.0,4,780.0,0
4,1,0,6300000.0,10,538.0,1
2,0,0,8800000.0,14,706.0,0
0,0,0,7300000.0,16,811.0,0
2,0,1,3800000.0,14,849.0,0
3,0,0,6200000.0,10,696.5294664782831,0
5,1,1,3500000.0,4,664.0,0
5,0,1,1400000.0,2,465.0,0
3,1,1,3500000.0,2,786.0,0
1,0,1,600000.0,10,437.7353598836072,1
0,1,0,4100000.0,16,399.0,1
2,1,1,5400000.0,6,841.0,0
2,1,1,2000000.0,14,638.0,0
4,0,1,3500000.0,4,478.0,1
0,0,1,8300000.0,4,600.0,0
0,0,1,6700000.0,16,768.0,0
0,1,0,1900000.0,10,523.0,1
2,0,1,6500000.0,14,443.060277927296,1
1,0,1,600000.0,8,799.0,0
5,0,0,7000000.0,18,803.0,0
2,0,0,7700000.0,18,524.0,1
1,0,0,2600000.0,6,506.0,1
1,0,0,9200000.0,2,351.0,1
2,0,1,1800000.0,8,648.0,0
1,1,0,4900000.0,4,612.0,0
1,0,0,5700000.0,14,396.0,1
3,1,0,5044040.197009752,2,458.0,1
3,0,1,1700000.0,6,488.0,1
4,0,0,7000000.0,6,475.0,1
1,1,0,2200000.0,18,417.0,1
2,1,0,6800000.0,8,781.0,0
1,1,1,2400000.0,12,337.0,1
0,1,1,600000.0,12,511.0,1
4,0,0,6200000.0,6,837.0,0
1,1,0,7600000.0,12,810.0,0
2,1,0,4800000.0,8,588.0,0
5,0,0,4200000.0,12,707.3072249386087,0
0,1,1,7200000.0,10,733.0,0
5,1,1,6400000.0,16,348.0,1
0,1,1,8900000.0,12,741.0,0
3,1,0,5100000.0,12,449.27333559421527,1
2,0,1,6300000.0,18,428.0,1
3,0,0,6600000.0,4,455.0,0
1,1,1,4800000.0,2,356.0,0
0,0,0,5022144.037890924,4,594.0,0
0,1,1,7500000.0,18,844.0,0
4,0,0,9000000.0,4,771.0,0
2,0,0,5400000.0,4,622.0,0
1,1,1,1700000.0,20,480.0,1
4,0,0,4300000.0,20,337.0,1
1,0,0,5200000.0,6,698.0,0
4,1,0,4400000.0,18,454.8850686854702,1
1,1,1,3900000.0,14,349.0,1
0,0,0,1100000.0,10,482.0,1
2,0,0,2500000.0,10,429.0,1
4,0,0,5093074.824223385,8,471.0,1
0,0,1,9000000.0,10,687.3232729486986,0
1,1,1,5100000.0,18,757.0,0
2,0,0,5200000.0,2,777.0,0
5,1,1,4400000.0,4,761.0,0
1,0,0,1900000.0,12,821.0,0
4,1,1,9200000.0,6,662.0,0
2,1,1,4800000.0,10,350.0,1
4,1,0,4900000.0,20,479.8084601532899,1
3,0,1,4800000.0,4,368.0,1
4,0,0,9300000.0,14,455.0,1
5,1,1,7500000.0,8,744.0,0
1,0,0,5900000.0,4,806.0,0
0,0,0,9400000.0,6,456.0,1
5,0,0,5300000.0,8,719.0,0
4,0,0,3700000.0,18,668.0,0
0,0,1,2500000.0,18,494.0,1
4,1,0,2800000.0,2,841.0,0
0,0,1,5400000.0,8,721.0,0
5,0,0,3100000.0,10,414.0,1
5,1,0,4800000.0,10,812.0,0
1,1,0,8800000.0,20,832.0,0
2,0,0,4100000.0,12,571.0,0
5,1,0,5057387.8259812975,14,459.0,1
2,0,1,6400000.0,6,592.0,0
5,0,0,3400000.0,20,527.0,1
4,1,0,3500000.0,12,333.0,1
3,1,0,3200000.0,18,532.0,1
2,0,1,4900000.0,18,754.0,0
0,0,1,1300000.0,4,835.0,1
4,0,0,2500000.0,10,592.0,0
0,0,0,7500000.0,20,553.0,0
2,0,0,700000.0,8,806.0,0
4,0,1,8200000.0,2,378.0,0
1,1,0,6900000.0,4,534.0,0
1,1,1,1500000.0,16,400.0,1
3,0,0,6300000.0,18,543.0,1
0,1,1,8800000.0,10,715.0,0
4,0,1,8900000.0,6,684.0,0
3,1,1,2100000.0,8,346.0,1
1,0,1,9200000.0,6,669.0,0
2,1,0,3600000.0,12,566.0,0
0,1,1,8600000.0,2,361.0,1
5,0,0,3000000.0,6,333.0,1
3,1,1,5200000.0,8,335.0,1
3,0,1,7200000.0,10,558.0,0
1,1,1,4000000.0,12,436.0,1
1,1,0,2400000.0,2,371.0,1
2,1,1,5500000.0,10,515.0,1
0,1,1,9000000.0,10,599.0,0
0,1,1,7900000.0,20,728.0,0
2,1,1,6200000.0,20,679.0,0
3,0,1,7900000.0,4,399.0,0
3,1,0,1200000.0,6,819.0,0
1,0,0,4700000.0,6,434.87793128978376,1
5,0,1,5900000.0,2,730.0,0
4,1,1,1400000.0,14,448.8898059255343,1
3,1,1,4700000.0,16,740.0,0
5,0,1,7600000.0,10,522.0,1
4,0,0,7200000.0,4,702.0,0
4,1,1,1400000.0,16,447.0,1
5,0,0,1400000.0,4,829.0,0
2,0,0,7900000.0,18,727.0,0
5,1,1,7600000.0,14,509.0,1
3,0,1,5034300.609205547,2,745.0,0
1,1,0,2300000.0,18,513.0,1
2,1,0,8100000.0,6,372.0,1
2,0,1,5066566.6806812165,4,411.0,1
4,0,0,4700000.0,20,495.0,1
5,1,0,1100000.0,4,827.0,0
4,1,0,8600000.0,6,820.0,0
5,0,1,8700000.0,10,660.0,0
0,1,0,2200000.0,4,563.0,0
1,1,1,4974809.565771906,10,689.1643610387684,0
0,1,1,9100000.0,12,387.0,1
1,0,0,2200000.0,12,613.0,0
0,1,1,2200000.0,14,335.0,1
1,0,1,5018683.419193461,2,795.0,0
1,0,1,6500000.0,8,369.0,1
4,0,1,2400000.0,18,711.799902828171,0
4,1,0,5500000.0,6,742.0,0
0,0,0,5000000.0,4,676.555253511579,0
1,0,0,2700000.0,16,691.0,0
3,1,1,8500000.0,12,762.0,0
1,0,0,4400000.0,18,468.5018371323309,1
4,1,0,5007991.523799848,20,777.0,0
0,0,0,8300000.0,2,662.0,0
2,1,1,6000000.0,12,462.0,1
3,1,1,4000000.0,14,609.0,0
5,0,1,4400000.0,20,590.0,0
3,0,1,4400000.0,18,779.0,0
2,0,1,1900000.0,14,641.0,0
0,0,1,5000000.0,12,752.0,0
0,0,0,8000000.0,10,438.7793241573329,1
4,1,0,8200000.0,10,546.0,1
2,0,0,7000000.0,8,833.0,0
2,1,0,2400000.0,18,421.0,1
5,0,0,6600000.0,4,639.0,0
3,0,0,3200000.0,20,735.0,0
0,1,1,2600000.0,2,377.0,1
3,1,0,6900000.0,20,481.3441278174024,1
4,0,0,4800000.0,2,695.0,0
1,1,1,4975944.346292176,4,355.0,0
1,1,1,4300000.0,12,525.0,1
5,1,0,700000.0,20,330.0,1
5,0,0,9400000.0,14,625.0,0
3,1,1,800000.0,10,644.0,0
5,1,0,4400000.0,4,865.0,0
1,0,1,4700000.0,6,661.0,0
2,1,0,2300000.0,8,694.269241735243,0
5,0,1,8500000.0,10,803.0,0
2,0,0,7600000.0,12,800.0,0
2,0,0,3200000.0,18,796.0,0
4,1,0,2400000.0,4,716.0,0
0,0,1,5048301.669455166,18,479.0,1
3,1,1,8500000.0,2,810.0,0
0,0,1,8900000.0,18,568.0,0
0,0,0,2800000.0,8,842.0,0
3,1,1,2900000.0,4,806.0,0
1,0,1,4900000.0,8,722.0,0
5,1,0,5057387.8259812975,14,442.0,1
3,0,1,3300000.0,6,360.0,1
3,1,0,2800000.0,4,461.0,1
2,0,0,7800000.0,10,735.0,0
4,0,1,2500000.0,12,761.0,0
0,0,0,4400000.0,20,653.0,0
0,1,0,7900000.0,4,726.0,0
1,0,0,8900000.0,18,617.0,0
0,0,0,5600000.0,2,460.0,1
1,1,0,1400000.0,8,439.8451031611871,1
5,0,1,5089992.465699345,4,471.0,1
1,0,1,5100000.0,4,628.0,0
3,0,0,5084887.969043919,10,404.0,1
2,0,1,8600000.0,16,804.0,0
3,1,0,1600000.0,20,804.0,0
1,1,1,2500000.0,2,502.0,1
0,0,0,5021765.7777175,6,861.0,0
2,1,1,3000000.0,14,555.0,0
0,1,0,5100000.0,18,351.0,1
2,1,1,7600000.0,6,358.0,1
5,0,0,8800000.0,14,836.0,0
4,1,1,1100000.0,4,554.0,0
3,0,0,8700000.0,2,443.0,0
5,1,0,6100000.0,4,725.0,0
2,1,1,1900000.0,14,818.0,0
1,1,0,4987213.559995683,6,670.0,0
0,0,0,5800000.0,6,414.0,1
2,1,1,4982996.420951373,8,683.9297356756763,0
3,0,1,7900000.0,12,409.0,1
1,1,1,1300000.0,14,679.0,0
4,0,1,700000.0,18,478.0,1
3,0,0,600000.0,2,752.0,0
0,0,0,9400000.0,4,616.0,0
2,1,1,3800000.0,14,842.0,0
3,0,1,7800000.0,20,840.0,0
3,0,1,7800000.0,6,430.0,1
4,1,0,2700000.0,4,351.0,1
5,1,0,600000.0,4,347.0,1
3,1,1,8000000.0,10,576.0,0
0,1,1,4000000.0,8,799.0,0
1,1,1,3300000.0,2,550.0,0
2,0,0,5800000.0,4,685.4271361355709,0
3,0,1,2400000.0,12,701.5040216901498,0
4,1,0,7600000.0,6,603.0,0
2,1,1,2500000.0,12,446.1161225703246,1
2,0,0,3300000.0,4,393.0,0
3,0,0,5045948.083082476,2,612.0,0
0,0,1,1000000.0,8,553.0,0
0,1,1,2500000.0,14,389.0,1
0,0,0,1900000.0,4,782.0,0
3,0,0,3100000.0,12,493.0,1
5,0,1,6000000.0,2,629.0,0
5,1,0,6500000.0,10,419.0,1
2,1,1,5900000.0,2,444.0,1
5,1,1,6500000.0,16,463.6809424793784,1
0,0,1,3800000.0,20,479.0,1
3,1,1,3000000.0,10,424.0,1
0,0,0,4300000.0,18,469.0,1
4,1,1,3500000.0,2,674.5466604427361,0
3,1,0,5044040.197009752,2,477.0,1
3,1,1,600000.0,16,509.0,1
0,0,1,800000.0,4,752.0,0
0,1,1,5600000.0,14,694.4631553136786,0
2,1,1,1800000.0,4,343.0,1
0,0,0,6800000.0,20,819.0,0
2,0,1,4200000.0,2,433.0,0
1,1,1,4975566.086118753,6,768.0,0
2,0,1,8500000.0,6,714.0,0
2,1,1,2800000.0,16,531.0,1
0,0,1,3600000.0,6,529.0,1
1,1,0,6200000.0,20,448.0,1
1,0,0,2700000.0,2,584.0,0
1,0,0,6800000.0,4,501.0,0
2,1,0,6300000.0,18,848.0,0
4,1,0,8800000.0,6,586.0,0
1,0,0,5900000.0,2,386.0,1
5,1,1,5044983.83175752,18,460.9349266770452,1
2,0,0,3300000.0,6,653.0,0
4,0,1,5080292.569826185,14,448.0,1
1,1,1,4800000.0,16,696.0,0
1,0,0,7500000.0,16,707.0,0
2,1,0,8600000.0,4,429.0,1
4,1,0,8900000.0,6,631.0,0
5,1,1,5007178.726316349,4,446.0,0
0,0,1,7700000.0,18,705.0,0
3,1,1,7000000.0,2,709.0,0
4,1,1,7800000.0,14,739.0,0
3,0,0,5100000.0,6,336.0,1
4,0,0,9400000.0,4,675.4722085581652,0
4,1,1,600000.0,6,558.0,0
3,0,0,5100000.0,4,589.0,0
2,0,1,3800000.0,2,407.1643822094393,1
2,1,1,5300000.0,14,516.0,1
5,1,0,1100000.0,12,448.9713449832308,1
3,1,0,6400000.0,10,546.0,1
0,1,1,5100000.0,14,559.0,0
3,0,1,5300000.0,2,350.0,0
1,0,0,6700000.0,8,583.0,0
2,1,0,4000000.0,8,695.1790647485977,0
2,1,1,3900000.0,8,808.0,0
1,0,1,1600000.0,16,487.0,1
3,0,0,2700000.0,14,705.3303523075534,0
3,0,0,1400000.0,8,840.0,0
4,1,1,8000000.0,18,682.0,0
3,0,1,8200000.0,10,668.0,0
5,0,1,4800000.0,8,781.0,0
4,0,0,8100000.0,6,375.0,1
4,1,0,5900000.0,14,857.0,0
5,0,1,8100000.0,6,823.0,0
0,0,0,1400000.0,8,686.0,0
1,0,0,1600000.0,2,721.0,0
4,0,0,4600000.0,18,545.0,1
1,1,0,2900000.0,6,523.0,1
2,0,1,8600000.0,20,607.0,0
4,1,0,3800000.0,20,428.0,1
0,1,0,8200000.0,4,666.0,0
3,0,0,3200000.0,20,704.0,0
0,1,1,8100000.0,10,794.0,0
1,0,1,5057245.04498148,12,430.0,1
0,1,0,4976757.143775675,20,615.0,0
0,1,0,6600000.0,20,360.0,1
0,1,0,9100000.0,14,458.0,1
2,1,0,5500000.0,12,689.136463181342,0
4,1,0,7200000.0,8,735.0,0
1,1,0,2400000.0,16,379.0,1
4,0,0,5090805.263182844,20,544.0,1
1,0,1,5800000.0,12,721.0,0
4,1,0,2300000.0,8,676.0,0
1,1,0,4987591.820169106,4,342.0,0
0,1,0,4977513.664122523,16,566.0,0
2,1,0,3500000.0,2,355.0,0
2,0,0,4800000.0,20,605.0,0
2,1,0,1600000.0,16,525.0,1
5,0,1,800000.0,12,403.0,1
1,0,1,9000000.0,18,727.0,0
1,0,0,8300000.0,12,529.0,1
4,0,0,2800000.0,18,415.0,1
1,0,1,6400000.0,10,692.2409231466972,0
2,1,1,6000000.0,16,649.0,0
0,0,0,2900000.0,16,395.0,1
0,0,0,6500000.0,20,488.0,1
1,0,1,5017548.63867319,8,569.0,0
1,1,0,8400000.0,14,817.0,0
1,0,1,6100000.0,20,706.0,0
2,0,1,8000000.0,8,553.0,0
5,1,1,900000.0,14,464.0,1
2,0,0,7300000.0,6,729.0,0
4,1,1,3700000.0,12,363.0,1
2,0,0,5200000.0,12,565.0,0
1,0,0,7200000.0,14,421.0,1
0,1,1,9400000.0,10,512.0,1
3,1,1,3400000.0,2,730.0,0
0,0,0,600000.0,8,627.0,0
0,1,1,3300000.0,16,434.0,1
2,0,1,5900000.0,2,410.0,1
3,1,0,1300000.0,16,624.0,0
4,0,1,5700000.0,4,656.0,0
2,1,0,7700000.0,16,758.0,0
4,1,1,7000000.0,18,336.0,1
5,0,0,8100000.0,18,378.0,1
1,0,1,1900000.0,4,620.0,0
2,0,0,4500000.0,18,593.0,0
0,1,1,4966622.710592439,12,710.0,0
1,1,1,5400000.0,8,753.0,0
1,1,1,7800000.0,16,454.0,1
1,0,1,8200000.0,8,619.0,0
2,0,0,8900000.0,6,367.0,1
1,0,0,1400000.0,20,384.0,1
2,0,0,1700000.0,16,610.0,0
0,0,0,5300000.0,12,802.0,0
3,0,0,6500000.0,10,858.0,0
2,0,0,5900000.0,8,599.0,0
4,0,1,5082562.130866726,2,395.0,1
3,0,1,7700000.0,6,380.0,1
1,0,0,7900000.0,10,803.0,0
4,0,0,3500000.0,20,809.0,0
4,1,0,2400000.0,2,722.0,0
5,0,0,5100505.159056004,10,392.0,1
0,0,0,3900000.0,8,545.0,1
2,1,1,7300000.0,10,799.0,0
0,0,1,6400000.0,12,727.0,0
4,0,0,7100000.0,18,530.0,1
2,1,0,8800000.0,14,637.0,0
5,0,0,7400000.0,4,561.0,0
2,1,0,4400000.0,20,421.0,1
3,0,1,8600000.0,14,459.0,1
3,1,0,6900000.0,14,828.0,0
4,0,0,5050352.336527708,20,679.0,0
2,0,1,8100000.0,8,455.0,1
0,1,0,2600000.0,18,712.5305066264383,0
3,0,1,9300000.0,14,636.0,0
2,1,1,2100000.0,16,426.0,1
4,1,1,9000000.0,14,508.0,1
3,1,1,7000000.0,4,768.0,0
3,1,0,2200000.0,20,667.0,0
5,0,1,7500000.0,2,440.0,0
1,0,1,8300000.0,2,366.0,1
2,1,0,5036231.6020037085,2,383.0,1
0,1,1,4968135.751286133,4,603.0,0
3,0,0,3900000.0,4,728.0,0
0,1,0,6600000.0,6,549.0,1
0,0,0,4100000.0,8,855.0,0
5,0,1,1800000.0,12,461.0,1
3,1,1,7000000.0,16,379.0,1
2,1,1,5100000.0,6,559.0,0
1,1,1,4975187.82594533,8,816.0,0
4,1,1,4300000.0,2,560.0,0
0,0,1,3200000.0,14,645.0,0
4,1,1,4200000.0,6,551.0,0
0,1,1,5007832.157594423,8,515.0,1
4,0,0,1300000.0,10,657.0,0
3,1,0,2400000.0,2,682.0,0
0,0,0,600000.0,10,588.0,0
5,0,1,5088857.685179075,10,359.0,1
0,0,0,5022144.037890924,4,766.0,0
4,0,0,5900000.0,14,469.0,1
0,0,1,700000.0,10,618.0,0
0,1,1,8600000.0,20,711.0,0
0,0,1,9000000.0,4,549.0,0
3,0,1,5100000.0,6,754.0,0
4,1,1,5039444.797792018,6,461.0,1
2,0,0,1600000.0,10,837.0,0
0,0,1,5049058.189802013,14,459.0,1
4,0,0,7800000.0,20,614.0,0
4,1,0,6500000.0,16,373.0,1
5,0,1,7500000.0,12,512.0,1
4,0,1,8900000.0,18,781.0,0
4,0,1,1800000.0,14,448.3962423065325,1
1,1,1,7600000.0,6,447.0,1
4,0,1,1200000.0,6,757.0,0
5,0,1,2700000.0,2,723.0,0
1,1,1,4600000.0,12,463.0,1
2,1,0,6900000.0,10,699.0,0
4,0,1,8400000.0,2,664.9990304091165,0
0,0,0,5019496.21667696,18,702.0,0
2,1,1,4983752.941298219,4,456.0,0
3,0,1,1900000.0,8,651.0,0
3,1,0,4200000.0,20,840.0,0
4,0,1,2200000.0,18,848.0,0
5,0,1,7100000.0,4,727.0,0
4,0,0,3500000.0,10,335.0,1
5,1,0,5056631.30563445,18,464.56114021012297,1
2,0,1,8800000.0,2,712.0,0
0,1,0,1800000.0,10,737.0,0
1,0,1,7600000.0,14,690.0,0
1,0,1,1000000.0,4,673.0510388833732,0
2,1,1,8200000.0,10,839.0,0
5,1,1,3600000.0,8,333.0,1
5,0,0,9400000.0,18,862.0,0
5,1,0,2600000.0,4,675.6808770881689,0
5,1,0,5017691.419673008,10,823.0,0
0,0,1,3500000.0,14,649.0,0
5,1,1,5006043.945796078,10,726.0,0
4,0,0,800000.0,18,712.0,0
0,1,0,4976757.143775675,20,701.0,0
3,0,0,6200000.0,12,655.0,0
1,1,1,4400000.0,18,385.0,1
2,0,0,1800000.0,4,777.0,0
3,0,0,1700000.0,14,696.0,0
3,0,0,3900000.0,16,496.0,1
2,0,1,2200000.0,6,659.0,0
3,1,1,6300000.0,2,542.0,1
2,1,0,2200000.0,18,729.0,0
1,0,0,8100000.0,6,744.0,0
4,1,0,6800000.0,2,749.0,0
0,0,0,4700000.0,20,755.0,0
3,0,1,2200000.0,2,506.0,1
3,0,1,3500000.0,6,391.0,1
1,1,1,3500000.0,10,687.69417923638,0
5,1,0,5057766.086154721,12,527.0,1
5,1,0,5056253.045461027,20,470.0,1
1,0,0,8400000.0,12,694.0,0
1,0,0,5000000.0,14,441.26626403613903,1
4,1,1,5500000.0,10,697.9573672845726,0
5,0,1,3000000.0,14,459.0,1
3,1,1,9400000.0,10,452.9588605561513,1
4,0,0,7600000.0,8,739.0,0
0,1,1,5500000.0,10,724.0,0
1,0,0,3100000.0,18,487.0,1
3,0,0,7700000.0,4,439.0,0
2,0,0,5038139.488076434,2,655.0,0
3,1,0,3200000.0,14,443.0,1
2,0,0,700000.0,20,489.0,1
4,1,1,3100000.0,14,427.0,1
0,0,1,4500000.0,20,417.0,1
5,1,1,8900000.0,18,842.0,0
3,1,0,5900000.0,2,657.4537341167602,0
2,1,0,1500000.0,18,428.0,1
4,1,1,6300000.0,16,415.0,1
3,1,1,6500000.0,20,405.0,1
4,0,0,8000000.0,18,683.0,0
1,0,1,3300000.0,14,742.0,0
4,1,0,3900000.0,10,530.0,1
3,0,0,1600000.0,10,844.0,0
2,1,1,3900000.0,18,715.0,0
3,0,1,8000000.0,12,476.0,1
2,0,0,2200000.0,6,721.0,0
4,1,0,7600000.0,12,339.0,1
5,1,1,2700000.0,6,461.0,1
2,0,1,6300000.0,12,556.0,0
3,1,0,7700000.0,8,483.0,1
2,0,0,4500000.0,18,406.0,1
2,0,1,9400000.0,14,513.0,1
0,1,0,4600000.0,16,574.0,0
0,0,1,5200000.0,6,692.0,0
5,0,1,8000000.0,18,867.0,0
1,1,1,4976322.6064656,2,667.1781614924992,0
4,0,1,8500000.0,10,597.0,0
2,0,1,4900000.0,20,513.0,1
3,0,1,7000000.0,2,354.0,0
2,1,0,4992752.593961185,18,647.0,0
1,0,0,5029574.372723543,6,659.117942600853,0
1,0,0,6200000.0,20,819.0,0
4,1,1,4100000.0,10,521.0,1
0,0,1,6100000.0,20,761.0,0
0,0,0,700000.0,18,572.0,0
3,0,0,6400000.0,12,571.0,0
4,0,1,3800000.0,20,726.2016330842926,0
1,1,0,4900000.0,12,698.7734173798485,0
2,0,0,2100000.0,20,580.0,0
2,0,0,6200000.0,8,605.0,0
4,1,0,1600000.0,8,705.0,0
1,1,1,1300000.0,20,423.0,1
5,1,1,7300000.0,2,846.0,0
2,1,0,2100000.0,4,542.0,1
5,1,0,600000.0,18,631.0,0
4,0,0,7000000.0,18,452.7847690364717,1
1,1,1,3000000.0,10,541.0,1
1,0,0,900000.0,20,782.0,0
2,0,0,5038139.488076434,2,669.8831508729154,0
0,0,0,1500000.0,14,747.0,0
0,0,1,5000000.0,6,641.0,0
3,0,1,5033922.349032123,4,640.0,0
4,1,0,7600000.0,12,432.89315347034574,1
4,0,0,5500000.0,20,359.0,1
0,1,1,6600000.0,12,338.0,1
0,0,0,1400000.0,14,384.0,1
5,1,1,8800000.0,16,545.0,1
5,1,0,6200000.0,18,610.0,0
2,0,1,8300000.0,18,840.0,0
3,1,0,2400000.0,6,630.0,0
1,0,0,9100000.0,4,508.0,0
0,1,1,4968135.751286133,4,535.0,0
1,0,0,1200000.0,20,717.0,0
2,0,1,7700000.0,8,735.0,0
5,0,1,7800000.0,20,528.0,1
0,0,1,9400000.0,4,350.0,1
0,1,0,1700000.0,12,422.0,1
5,0,0,4000000.0,6,496.0,1
4,1,0,4200000.0,18,794.0,0
2,0,0,2400000.0,6,719.0,0
3,1,1,2700000.0,14,630.0,0
3,1,1,600000.0,4,843.0,0
2,0,0,4600000.0,2,764.0,0
3,0,0,7200000.0,4,662.0,0
